"game_id","game_type_id","WEEK","TEAM_SHORT","OPPONENT","created_date","create_user",
179,1,13,"SF","SEA","2018-10-15 07:04:20","mortimer",
158,1,11,"SD","OAK","2018-10-15 07:04:20","mortimer",
15,1,1,"DET","NYG","2018-10-15 07:04:20","mortimer",
137,1,10,"JAC","DAL","2018-10-15 07:04:20","mortimer",
177,1,13,"DET","CHI","2018-10-15 07:04:20","mortimer",
34,1,3,"DET","GB","2018-10-15 07:04:20","mortimer",
156,1,11,"NYG","SF","2018-10-15 07:04:20","mortimer",
13,1,1,"DAL","SF","2018-10-15 07:04:20","mortimer",
135,1,10,"CIN","CLE","2018-10-15 07:04:20","mortimer",
196,1,14,"MIA","BAL","2018-10-15 07:04:20","mortimer",
53,1,4,"IND","TEN","2018-10-15 07:04:20","mortimer",
175,1,12,"NYG","DAL","2018-10-15 07:04:20","mortimer",
32,1,2,"IND","PHI","2018-10-15 07:04:20","mortimer",
154,1,11,"NO","CIN","2018-10-15 07:04:20","mortimer",
215,1,15,"NYG","WAS","2018-10-15 07:04:20","mortimer",
11,1,1,"STL","MIN","2018-10-15 07:04:20","mortimer",
194,1,14,"MIN","NYJ","2018-10-15 07:04:20","mortimer",
51,1,4,"PIT","TB","2018-10-15 07:04:20","mortimer",
173,1,12,"DEN","MIA","2018-10-15 07:04:20","mortimer",
30,1,2,"DEN","KC","2018-10-15 07:04:20","mortimer",
213,1,15,"ATL","PIT","2018-10-15 07:04:20","mortimer",
9,1,1,"HOU","WAS","2018-10-15 07:04:20","mortimer",
70,1,5,"CAR","CHI","2018-10-15 07:04:20","mortimer",
192,1,13,"NYJ","MIA","2018-10-15 07:04:20","mortimer",
49,1,4,"WAS","NYG","2018-10-15 07:04:20","mortimer",
171,1,12,"SD","STL","2018-10-15 07:04:20","mortimer",
232,1,16,"CAR","CLE","2018-10-15 07:04:20","mortimer",
28,1,2,"OAK","HOU","2018-10-15 07:04:20","mortimer",
89,1,6,"ARI","WAS","2018-10-15 07:04:20","mortimer",
211,1,15,"IND","HOU","2018-10-15 07:04:20","mortimer",
68,1,5,"NO","TB","2018-10-15 07:04:20","mortimer",
190,1,13,"GB","NE","2018-10-15 07:04:20","mortimer",
251,1,17,"ATL","CAR","2018-10-15 07:04:20","mortimer",
47,1,3,"CAR","PIT","2018-10-15 07:04:20","mortimer",
230,1,16,"PIT","KC","2018-10-15 07:04:20","mortimer",
87,1,6,"SEA","DAL","2018-10-15 07:04:20","mortimer",
209,1,15,"STL","ARI","2018-10-15 07:04:20","mortimer",
66,1,5,"PHI","STL","2018-10-15 07:04:20","mortimer",
249,1,17,"GB","DET","2018-10-15 07:04:20","mortimer",
45,1,3,"MIA","KC","2018-10-15 07:04:20","mortimer",
106,1,7,"PIT","HOU","2018-10-15 07:04:20","mortimer",
228,1,16,"NYJ","NE","2018-10-15 07:04:20","mortimer",
85,1,6,"CIN","CAR","2018-10-15 07:04:20","mortimer",
207,1,14,"SD","NE","2018-10-15 07:04:20","mortimer",
64,1,5,"IND","BAL","2018-10-15 07:04:20","mortimer",
125,1,9,"MIN","WAS","2018-10-15 07:04:20","mortimer",
247,1,17,"TEN","IND","2018-10-15 07:04:20","mortimer",
104,1,7,"DAL","NYG","2018-10-15 07:04:20","mortimer",
226,1,16,"WAS","PHI","2018-10-15 07:04:20","mortimer",
83,1,6,"TB","BAL","2018-10-15 07:04:20","mortimer",
266,2,3,"NE","IND","2018-10-15 07:04:20","mortimer",
123,1,9,"MIA","SD","2018-10-15 07:04:20","mortimer",
245,1,17,"MIN","CHI","2018-10-15 07:04:20","mortimer",
102,1,7,"SD","KC","2018-10-15 07:04:20","mortimer",
81,1,6,"MIA","GB","2018-10-15 07:04:20","mortimer",
142,1,10,"TB","ATL","2018-10-15 07:04:20","mortimer",
264,2,2,"DEN","IND","2018-10-15 07:04:20","mortimer",
121,1,8,"DAL","WAS","2018-10-15 07:04:20","mortimer",
243,1,17,"PIT","CIN","2018-10-15 07:04:20","mortimer",
100,1,7,"BUF","MIN","2018-10-15 07:04:20","mortimer",
161,1,11,"TEN","PIT","2018-10-15 07:04:20","mortimer",
140,1,10,"NO","SF","2018-10-15 07:04:20","mortimer",
262,2,2,"SEA","CAR","2018-10-15 07:04:20","mortimer",
119,1,8,"PIT","IND","2018-10-15 07:04:20","mortimer",
159,1,11,"ARI","DET","2018-10-15 07:04:20","mortimer",
16,1,1,"ARI","SD","2018-10-15 07:04:20","mortimer",
138,1,10,"NYJ","PIT","2018-10-15 07:04:20","mortimer",
117,1,8,"ARI","PHI","2018-10-15 07:04:20","mortimer",
178,1,13,"DAL","PHI","2018-10-15 07:04:20","mortimer",
35,1,3,"CIN","TEN","2018-10-15 07:04:20","mortimer",
157,1,11,"STL","DEN","2018-10-15 07:04:20","mortimer",
14,1,1,"DEN","IND","2018-10-15 07:04:20","mortimer",
136,1,10,"BUF","KC","2018-10-15 07:04:20","mortimer",
197,1,14,"CLE","IND","2018-10-15 07:04:20","mortimer",
176,1,12,"NO","BAL","2018-10-15 07:04:20","mortimer",
33,1,3,"ATL","TB","2018-10-15 07:04:20","mortimer",
155,1,11,"KC","SEA","2018-10-15 07:04:20","mortimer",
12,1,1,"TB","CAR","2018-10-15 07:04:20","mortimer",
195,1,14,"NO","CAR","2018-10-15 07:04:20","mortimer",
52,1,4,"NYJ","DET","2018-10-15 07:04:20","mortimer",
174,1,12,"SF","WAS","2018-10-15 07:04:20","mortimer",
31,1,2,"SF","CHI","2018-10-15 07:04:20","mortimer",
153,1,11,"CLE","HOU","2018-10-15 07:04:20","mortimer",
214,1,15,"NE","MIA","2018-10-15 07:04:20","mortimer",
10,1,1,"BAL","CIN","2018-10-15 07:04:20","mortimer",
71,1,5,"JAC","PIT","2018-10-15 07:04:20","mortimer",
193,1,14,"CHI","DAL","2018-10-15 07:04:20","mortimer",
50,1,4,"HOU","BUF","2018-10-15 07:04:20","mortimer",
172,1,12,"SEA","ARI","2018-10-15 07:04:20","mortimer",
233,1,16,"CHI","DET","2018-10-15 07:04:20","mortimer",
29,1,2,"GB","NYJ","2018-10-15 07:04:20","mortimer",
212,1,15,"KC","OAK","2018-10-15 07:04:20","mortimer",
69,1,5,"DET","BUF","2018-10-15 07:04:20","mortimer",
191,1,13,"KC","DEN","2018-10-15 07:04:20","mortimer",
48,1,3,"NYJ","CHI","2018-10-15 07:04:20","mortimer",
231,1,16,"HOU","BAL","2018-10-15 07:04:20","mortimer",
27,1,2,"TB","STL","2018-10-15 07:04:20","mortimer",
88,1,6,"ATL","CHI","2018-10-15 07:04:20","mortimer",
210,1,15,"DET","MIN","2018-10-15 07:04:20","mortimer",
67,1,5,"TEN","CLE","2018-10-15 07:04:20","mortimer",
189,1,13,"ATL","ARI","2018-10-15 07:04:20","mortimer",
250,1,17,"KC","SD","2018-10-15 07:04:20","mortimer",
46,1,3,"SEA","DEN","2018-10-15 07:04:20","mortimer",
107,1,8,"DEN","SD","2018-10-15 07:04:20","mortimer",
229,1,16,"MIA","MIN","2018-10-15 07:04:20","mortimer",
86,1,6,"OAK","SD","2018-10-15 07:04:20","mortimer",
208,1,14,"GB","ATL","2018-10-15 07:04:20","mortimer",
65,1,5,"DAL","HOU","2018-10-15 07:04:20","mortimer",
248,1,17,"BAL","CLE","2018-10-15 07:04:20","mortimer",
105,1,7,"DEN","SF","2018-10-15 07:04:20","mortimer",
227,1,16,"SF","SD","2018-10-15 07:04:20","mortimer",
84,1,6,"BUF","NE","2018-10-15 07:04:20","mortimer",
63,1,5,"NYG","ATL","2018-10-15 07:04:20","mortimer",
124,1,9,"DAL","ARI","2018-10-15 07:04:20","mortimer",
246,1,17,"TB","NO","2018-10-15 07:04:20","mortimer",
103,1,7,"OAK","ARI","2018-10-15 07:04:20","mortimer",
225,1,16,"JAC","TEN","2018-10-15 07:04:20","mortimer",
82,1,6,"TEN","JAC","2018-10-15 07:04:20","mortimer",
143,1,10,"OAK","DEN","2018-10-15 07:04:20","mortimer",
